"url","name","region","id","description","rating","cleanliness","accuracy","check_in","communication","guestSatisfaction","location","value","reviewCount","priceQualifier","cleaningFee","serviceFee","price","latitude","longitude"
"https://www.airbnb.com/rooms/4655008?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-08&check_out=2025-03-13&children=0&infants=0&pets=0&photo_id=34914243&source_impression_id=p3_1741360842_P3jmjol2CiSDLWQv&previous_page_section_name=1000","Beautiful room in Pigneto","","4655008","The room:15m2, bright, double bed (160 x 200), heating, linen provided (towels, sheets...), wardrobe.The spaceThe flat (55m2) consists of two bedrooms, one kitchen open for the guests 24/24, and one shared bathroom.Central heating, hot water, and wireless high-speed internet are provided.The flat will offer you a great combination of both location and comfort.During your stayI'll try to be as available as I can to make your stay in Rome as great as possible !!I'm quite fluent in English, Italian, French, and Spanish (kind of... I need to work on it...).Anyway, other languages are obviously very welcome !Registration numberIT058091C27BW7EH6O","4.82","4.8","4.9","5.0","5.0","4.82","4.6","4.8",251,"$32","$22","$31","$215",41.89072,12.52627
"https://www.airbnb.com/rooms/1268764405233941246?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-23&check_out=2025-03-28&children=0&infants=0&pets=0&photo_id=2012791245&source_impression_id=p3_1741360842_P3Y_x-vLpw2sSRxX&previous_page_section_name=1000","Casa Magnifico - Room Michelangelo","Rome, Lazio, Italy","1268764405233941246","Enjoy this great accommodation in a lively residential neighborhood that is perfectly connected to downtown.The ideal location a few steps from Piazza Bologna will allow you to walk to the metro line B ""Bologna"" stop, the ""Tiburtina"" train station as well as a wide variety of restaurants, bars and supermarkets.The spaceThe apartment is on the fourth floor with an elevator and has a double exposure and is therefore very bright.It has three total bedrooms (two with shared bathroom and one with en-suite bathroom), a large living room with dining table, a fully equipped kitchen (refrigerator, electric oven, microwave oven, kettle, dishes and washing machine).The Michelangelo room has a large double bed (160x200), is very bright and has a private balcony. Sheets are available for guests, a complete set of towels (shower towel, face towel and guest towel) and a large desk.The bathroom, shared with the room ""Raffaello"", is spacious and equipped with toilet, bidet, bathtub (also set up for shower use), washbasin, body soap, shampoo, conditioner, hand soap, hair dryer.Guest accessThe living room and kitchen are available to guests, shared among the three rooms of the apartment.The bathroom is shared between the only two rooms ""Raffaello"" and ""Michelangelo"".The Michelangelo double bedroom is for exclusive use.During your stayGuests can contact me on the ""messages"" section of the platform or on my personal mobile number that will be provided at the time of booking.Registration numberIT058091C2IN4FYIYM","Guest favorite","5.0","5.0","5.0","5.0","Guest favorite","4.9","5.0",12,"$56","$16","$50","$344",41.9129,12.5223
"https://www.airbnb.com/rooms/1367391500444958639?search_mode=regular_search&adults=1&check_in=2025-03-08&check_out=2025-03-13&children=0&infants=0&pets=0&source_impression_id=p3_1741360842_P30eNfUsggnjhnnI&previous_page_section_name=1000","[San Giovanni] Dream Apartment","Rome, Lazio, Italy","1367391500444958639","Apartment located in a strategic position, a few steps from San Giovanni, our accommodation offers a spacious environment, bright and also perfect for families, couples and small groups of 2 or 3 people. Thanks to its proximity to the city center and the main means of transport, you can easily reach all the attractions of Rome. Whether you're a couple, with friends or family, this home is the ideal choice to explore the city without sacrificing tranquility and comfortThe spaceOur apartment, located in San Giovanni, is the ideal choice for those who want to stay in an elegant and comfortable environment, a short walk from the heart of Rome. Thanks to the strategic location, you will be only 10 minutes from the Colosseum, a few minutes from the Pigneto and the main attractions of the city, with excellent connections by metro and bus that will allow you to move easily.Our apartment is an oasis of comfort and relaxation where every detail is designed to offer you an unforgettable stay. Perfect for families, couples and small groups of 3 people, our rooms, spacious and tastefully furnished, guarantee a cozy and refined environment, ideal for resting after a day of exploration or work.The living room is the real heart of the house: spacious, bright and elegantly furnished, it is the ideal place to relax. Here you will find a Smart TV with Netflix to enjoy your favorite movies and series, in addition to fast Wi-Fi, perfect for working remotely or always stay connected.For those who love outdoor spaces, our beautiful balcony offers a corner of tranquility, perfect for sipping a coffee in the morning or relaxing at sunset.We have two bathrooms, designed to offer maximum comfort to our guests: • The first bathroom has a shower, ideal for those who love convenience and want to cool off quickly after a busy day in the city. • The second bathroom, on the other hand, offers a perfect bathtub for those who want to enjoy a moment of pure relaxation, perhaps after exploring the beauties of Rome.Guest accessGuests have access to the entire apartment.Registration numberIT058091C2GMCWKUT3","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0",3,"$82","$32","$75","$517",41.885135717436526,12.52279348906773
"https://www.airbnb.com/rooms/15153828?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1741360842_P3sfAfe7b2d-PK0u&previous_page_section_name=1000","Ferruccio Apt near Colosseum - WI-FI fibra veloce","","15153828","Ferruccio Apartment is a small but comfortable place of 30sqm (322sq ft) comprising a living room, a bedroom and an en suite bathroom. It is positioned at 15' walk from Termini central station, Colosseum and Forum. It is also served by Metro and bus lines to reach any tourist sites. Free WI-FI with superfast fibre broadband (1Gb/s).To help prevent the spread of Covid -19, we apply Airbnb protocol for cleaning and sanitizing the apartment.Self check-in and self-check-out are possible.The spaceFerruccio Apartment is a small flat on the raised ground floor of a 1900 building in the centre of Rome. It has been recently renovated and everything is new. It comprises a living room with fully equipped kitchen (fridge, dishwasher, oven, TV), and a small couch. The bedroom has a queen size double bed (160x200cm), a large wardrobe and aTV.The en suite bathroom has a big and very comfortable shower. A washing machine is also available, as well as a drying rack, iron and ironing board.Free WI-FI with superfast fibre broadband (1Gb/s) and air conditioning available.The apartment is at 10-15 min walking distance from Termini central station.It is also at 100meters from Vittorio Emanuele stop of Metro Line A, the same metro line that can take you to the Vatican or the Spanish Steps and all the main attractions in Rome. The Colosseum and Forum are at 10 minutes walking distance.Guest accessThe apartment is not inhabited and it is fully accessible to guests.NAME ON THE BUZZER: Interno 1It is possible to park everywhere in Via Ferruccio and in the surrounding streets. On the white lines parking is free, on the blue lines it is paid (1€ per hour or 4€ per 8 hours).Other things to noteAlthough guests are charged for the final cleaning, it is common practice to leave the kitchen in order. Please do not leave dirty dishware (there is a dishwasher for you) and take the garbage/trash to the appropriate containers in the street. Thank you!------------------------------------------------------------------------------------------------HOW TO REACH FERRUCCIO APARTMENT:FROM FIUMICINO AIRPORT:Fiumicino airport is 27 km far from Rome. The fastest way to get to the town center is by train Leonardo Express which leaves from the airport every 15' and arrives at Roma Termini central station in 32'. It cost 14€ per person one way. Alternatively, you can use one of the many shuttle buses that take you to Roma Termini in 40'-60' depending on traffic. Costs vary from 7 to 10€ per person. Tickets can be bought outside Terminal 3 at Bus stops.FROM CIAMPINO AIRPORT:If you are arriving in CIAMPINO AIRPORT you can take a shuttle bus (Terravision for example, but there are other companies too) which will take you to Termini Central Station.FROM TERMINI TRAIN CENTRAL STATION:You can then take the Metro A (direction Anagnina) and get off at Vittorio Emanuele which is actually only one stop away from Termini. From Vittorio Emanuele it is only 2 minutes to Ferruccio apartment. If you like, you can also walk from Termini station to my place. It will take you about 15'.Registration numberIT058091C2OPUUSBTS","Guest favorite","5.0","5.0","5.0","5.0","Guest favorite","4.8","4.8",420,"$70, originally $93","$38","$65","$452",41.8927,12.5042
"https://www.airbnb.com/rooms/733712903217137733?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-08-05&check_out=2025-08-10&children=0&infants=0&pets=0&photo_id=1801719692&source_impression_id=p3_1741360842_P3hAkPMf5ehOOv4p&previous_page_section_name=1000","For(women)Travelers","","733712903217137733","Welcome reserved for women.A stone's throw from the Colosseum, the Imperial Forums, and major historical and archaeological sites. The location is strategic to visit the city on foot! You'll stay at Rione Monti, Rome's oldest and trendiest neighborhood, full of picturesque alleys, exclusive shops, and refreshments for all budgets. For fast travel:- Metro Line A 700 meters away- Subway Line B 400 meters away- Termini Station 700 meters away- Buses and Taxi (anywhere)The spaceCollected and cozy apartment, on the third floor of a nineteenth-century building with an elevator. The front door of the house opens to the living area, a spacious and bright room with a bed in the clouds for the guests. The bed, a 140x190cm French double, is nestled on a loft (no railings) served by a barefoot ladder to use. A hallway connects the living area to the kitchen and the hallway that gives access to my bedroom and bathroom that we will share.The living area with its sleeping area will be your room that, with discretion, I will only cross to get in and out of the house. If you appreciate the shared hospitality... Welcome to my house!Guest accessI will welcome you in my home with the pleasure and trust it holds for friends.You can use the kitchen for breakfast and the refrigerator to store food and drinks. Check-in is from 2pm to 5pm.Check-out by 9:00 a.m.At check-in, you present your ID and sign the tourist contract. These formalities are necessary to communicate your arrival to the State Police and the Municipality of Rome.During your stayWe will share the house with mutual respect. Respect for your space and privacy is a priority for me.Other things to noteReview the listing to make sure the listing, its location, and the amenities offered are suitable for your needs... for more information I'm ready to respond.Registration numberIT058091C2DIM9FZ5L","Guest favorite","5.0","5.0","5.0","5.0","Guest favorite","5.0","5.0",70,"$51","$22","$47","$323",41.8968,12.4963
"https://www.airbnb.com/rooms/33774167?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-08-03&check_out=2025-08-08&children=0&infants=0&pets=0&photo_id=1613037581&source_impression_id=p3_1741360842_P3buqfO-Gf00CMIg&previous_page_section_name=1000","Tourist Accommodation","","33774167","A bedroom with a double bed is available in an apartment with 2 rooms, kitchen and shared bathroomDuring your stayFor anything I am always at their disposalRegistration numberIT058091C2CHEDL2JY","Guest favorite","5.0","5.0","5.0","4.9","Guest favorite","4.9","4.9",404,"$61","$24","$56","$384",41.90426,12.50547
"https://www.airbnb.com/rooms/31073243?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1741360842_P3LxjLHM3Yr9dVkN&previous_page_section_name=1000","MiniStudio24@Roma -Termini-Colosseum-Monti-Metro!","","31073243","CIN: IT058091C26JG9X5EKPractical and cozy. MiniStudio24 is located in the heart of the city, in one of the oldest districts: Esquilino, located between Termini and Monti. Very convenient to visit Rome! By walking and by public transport. In fact, you can walk to most tourist attractions: Colosseum and Parco del Colle Oppio, Domus Aurea, Piazza Vittorio Emanuele II, Santa Maria Maggiore, etc.Metro A that leads to the Vatican, just 30 m away. Termini Station and metro B, 400 m away.The spaceThe studio of 23m2, renovated, is located within a larger housing unit (guests will have access through a common entrance). It is equipped with a kitchenette with electric hob, microwave, integrated fridge and basic items for cooking. Queen bed 160x200 cm. Hangers. Two luggage racks. Towels and sheets are included. Hair dryer. Shower 70 x 70 cmStand-alone heating. Parking. WiFi. Smart TV Led 42' with Netflix and Amazon Prime included ... and if you don't want to see TV, from the window you have a nice view of Piazza San Vito and its ancient church!Registration numberIT058091C26JG9X5EK","Guest favorite","5.0","5.0","5.0","5.0","Guest favorite","4.9","4.9",374,"$95, originally $149","","$80","$555",41.8959,12.5022
"https://www.airbnb.com/rooms/691497246520659017?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-06-11&check_out=2025-06-16&children=0&infants=0&pets=0&photo_id=1468580259&source_impression_id=p3_1741360842_P3ju3xCkmAk9RLY-&previous_page_section_name=1000","Private & Cute Room Ponte Mammolo","Rome, Lazio, Italy","691497246520659017","If you need a quiet space to stay and relax, this is what's right for you! Inside the apartment you will have all the privacy you need, while outside all the necessary services: supermarkets, pharmacies, clothing stores, transportation (bus and metro B) and there are plenty of parks and green spaces to walk around! I look forward to seeing you, you are welcome! :)The spacePrivate room in apartmentGuest accessCommon AccessDuring your stayIn-person interactionOther things to noteHello! Welcome to my place! In order to ensure everyone's safety, you'll be asked for an ID. You don't have to worry about this, it's just a formality, but it allows me to comply with the bureaucratic rules around the reservation. I look forward to hearing from you and wish you a great stay! See you soon! :)Registration numberIT058091C2QFEEGIB2","4.83","4.7","4.8","4.7","5.0","4.83","4.6","4.6",24,"$32","$11","$29","$202",41.91275,12.57087
"https://www.airbnb.com/rooms/1314390822915367762?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1741360842_P3EglGse-L6vFYfY&previous_page_section_name=1000","HostClean | Richetta’s Comfy House near St. Peter!","","1314390822915367762","Comfortable and quiet apartment of 65 square meters 10 minutes from Piazza San Pietro, able to accommodate up to 5 people, located on the second floor of a building without an elevator. Being located in a small alley, it is ideal for those looking for tranquility while being a stone's throw from one of the most important places in Rome: the Vatican. The property is outside the ZTL, so you can park on the street for free or for a fee at the San Pietro Station Parking lot, a 4-minute walk awayThe spaceThe interior space is arranged as follows:- living room with sofa bed, television, closet, dining table and A/C split;- KITCHEN with gas cooktop, refrigerator with freezer, oven, electric kettle, mocha, wine glasses, cooking utensils, and access to the balcony;- BEDROOM 1 with double bed, split A/C, television, blackout curtains;- bedroom 2 with two single beds, split A/C, blackout curtains;- BATHROOM with shower, washbasin, bidet and toilet;- SERVICE BALCONY;- TERRACE with a table and chairs.ADDITIONAL AMENITIES AVAILABLE FOR GUESTS: unlimited wifi, air conditioning, independent heating, washing machine, hairdryer, clothesline, iron and ironing board.Guest accessThe entire space is for guest use of the entire space.Other things to noteFor check-in after 8:00 pm and until 11:00 pm there is an additional fee of €25.00 per stay.For check-in after 11:00 pm and until 1:00 am a surcharge of €40.00 per stay will be applied.All check-in requests outside of the scheduled times are subject to approval by the property.Registration numberIT058091C2Q56LDFKI","Guest favorite","5.0","5.0","4.8","5.0","Guest favorite","5.0","4.8",6,"$72, originally $121","$76","","$438",41.89664131642908,12.452969305795015
"https://www.airbnb.com/rooms/12580380?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2026-01-05&check_out=2026-01-10&children=0&infants=0&pets=0&photo_id=159250452&source_impression_id=p3_1741360842_P3NYyl9cTOA6rFVH&previous_page_section_name=1000","Termini Guesthouse b&b close to Colosseo","Rome, Lazio, Italy","12580380","If you are looking for a comfortable place to stay, in the heart of Rome, within walking distance from all the places of interest in the city, Termini Guesthouse is the Bed and Breakfast to be. It is located at the 4th floor of an old Umbertino Palazzo, within three minutes walk from Stazione Termini (The main Train Station of the city), and fifteen minutes walk from Colosseo, the Domus Aurea and the Foro.The spaceWe have 3 bedrooms spacious and full of light, 2 double bedrooms and a triple bedroom all with private bathroom. They are all equipped with the best services available: wifi, air conditioning, flat screen television, shower and hair dryer.During your stayOur staff will be at your disposal for anything you may need during your stay.Other things to noteHi, we can not accept check in after 8 30 pmAfter that time nobody can open you the door.Registration numberIT058091B4N9YEI4U7","4.81","4.9","4.9","4.9","5.0","4.81","4.7","4.8",517,"$65","","$55","$379",41.89999,12.50182
